Episode,Total_Reward,Mean_Reward,Episode_Length
157,-198.59385240487444,-33.09897540081241,500
158,-190.93696813672,-31.822828022786666,500
159,-203.21155472961172,-33.86859245493529,500
160,-209.71142031454465,-34.95190338575744,500
161,-176.9676169462076,-29.494602824367934,500
162,-181.05113256146103,-30.175188760243504,500
163,-194.26563774038675,-32.377606290064456,500
164,-203.75663519670096,-33.95943919945016,500
165,-156.4992056368649,-26.083200939477482,500
166,-228.8127708613319,-38.13546181022198,500
167,-241.82090108545464,-40.30348351424244,500
168,-206.9609747425755,-34.49349579042925,500
169,-202.97230124167905,-33.828716873613175,500
170,-211.96030727023356,-35.32671787837226,500
171,-240.12242763317593,-40.02040460552932,500
172,-233.1190022142459,-38.85316703570765,500
173,-197.28549672623885,-32.88091612103981,500
174,-122.7963304877392,-20.466055081289866,500
175,-181.67523302112198,-30.27920550352033,500
176,-209.37098942586942,-34.89516490431157,500
177,-204.7266047812737,-34.12110079687895,500
178,-221.66559778307132,-36.94426629717855,500
179,-209.01799951408316,-34.836333252347195,500
180,-203.64577424575182,-33.94096237429197,500
181,-222.48877751934018,-37.08146291989003,500
182,-203.92366602813712,-33.98727767135619,500
183,-223.31071141109516,-37.21845190184919,500
184,-214.49759788014728,-35.749599646691216,500
185,-184.47170623368208,-30.74528437228035,500
186,-213.32320536713132,-35.553867561188554,500
187,-178.6273261423306,-29.771221023721765,500
188,-213.74832554972772,-35.62472092495462,500
189,-208.99788306299445,-34.83298051049908,500
190,-221.30737461350358,-36.88456243558393,500
191,-232.48595692676642,-38.7476594877944,500
192,-195.93459491635124,-32.655765819391874,500
193,-211.92700267436732,-35.321167112394555,500
194,-188.57591060907316,-31.429318434845527,500
195,-226.6232281523828,-37.77053802539714,500
196,-210.56618762029044,-35.09436460338174,500
197,-210.6575095027061,-35.10958491711768,500
198,-188.77518888285488,-31.462531480475814,500
199,-194.85062213083296,-32.47510368847216,500
200,-213.66172522773053,-35.61028753795509,500
201,-220.24459371055013,-36.70743228509169,500
202,-175.69010819381947,-29.28168469896991,500
203,-199.02245775634594,-33.170409626057655,500
204,-206.67778441369023,-34.44629740228171,500
205,-211.31943381331885,-35.21990563555314,500
206,-210.9900335326949,-35.165005588782485,500
207,-178.0077517227277,-29.667958620454616,500
208,-207.75485464365826,-34.625809107276375,500
209,-195.43384821242333,-32.572308035403886,500
210,-222.5233385350182,-37.087223089169704,500
211,-203.27779287427592,-33.879632145712655,500
212,-203.0358373548487,-33.839306225808116,500
213,-186.46799943081948,-31.07799990513658,500
214,-197.5917090362828,-32.931951506047135,500
215,-232.77378098106124,-38.795630163510204,500
216,-182.9691227984716,-30.494853799745268,500
217,-212.3098467264249,-35.38497445440415,500
218,-188.1517882206733,-31.358631370112217,500
219,-232.83949406029177,-38.80658234338196,500
220,-225.89245231664503,-37.648742052774175,500
221,-166.8294695825532,-27.8049115970922,500
222,-200.05002468958466,-33.34167078159744,500
223,-222.7621046182185,-37.12701743636975,500
224,-195.93448677450607,-32.65574779575101,500
225,-188.05475571268428,-31.34245928544738,500
226,-190.4121299472408,-31.7353549912068,500
227,-204.17509953356478,-34.02918325559413,500
228,-170.46828351413288,-28.411380585688814,500
229,-175.00169038965836,-29.166948398276393,500
230,-184.77616065574352,-30.796026775957255,500
231,-203.7285332844894,-33.9547555474149,500
232,-187.7829557053991,-31.297159284233185,500
233,-218.98000154557545,-36.49666692426258,500
234,-183.45498415094752,-30.57583069182459,500
235,-201.49681820122834,-33.582803033538056,500
236,-207.14327085536482,-34.523878475894136,500
237,-200.44447318427166,-33.40741219737861,500
238,-218.3462822667144,-36.3910470444524,500
239,-259.325074651303,-43.220845775217164,500
240,-213.06935098250588,-35.511558497084316,500
241,-202.64925217377086,-33.77487536229514,500
242,-238.98771677160113,-39.83128612860019,500
243,-227.68377612538427,-37.947296020897376,500
244,-177.1791741090897,-29.52986235151495,500
245,-209.87412533260388,-34.979020888767316,500
246,-186.29731489980202,-31.049552483300335,500
247,-197.457616328206,-32.90960272136767,500
248,-213.495584962815,-35.5825974938025,500
249,-206.64713228644172,-34.441188714406955,500
250,-224.06352460256085,-37.34392076709347,500
251,-236.82954572949228,-39.47159095491538,500
252,-194.1537041806455,-32.35895069677425,500
253,-188.84002230177862,-31.473337050296436,500
254,-201.13678780958395,-33.522797968263994,500
255,-218.83655326069538,-36.472758876782564,500
256,-197.5178246894333,-32.91963744823888,500
257,-167.31049268307893,-27.88508211384649,500
258,-196.04534744196656,-32.67422457366109,500
259,-214.29135872511517,-35.71522645418586,500
260,-210.0290342643888,-35.0048390440648,500
261,-206.327174083563,-34.3878623472605,500
262,-219.22403004031202,-36.537338340052,500
263,-220.34011578659653,-36.723352631099424,500
264,-228.94932767212407,-38.15822127868734,500
265,-192.72440770114744,-32.12073461685791,500
266,-210.47280995496823,-35.07880165916137,500
267,-199.01119009125023,-33.16853168187504,500
268,-180.26971833936716,-30.044953056561194,500
269,-223.7437420295706,-37.2906236715951,500
270,-209.2566484087295,-34.87610806812158,500
271,-200.66766078056435,-33.444610130094055,500
272,-192.49015786278505,-32.08169297713084,500
273,-157.2703568149937,-26.211726135832283,500
274,-222.58204209222146,-37.097007015370245,500
275,-217.4932053184161,-36.24886755306935,500
276,-217.4104331058244,-36.235072184304066,500
277,-215.35752546503696,-35.89292091083949,500
278,-198.2547941632526,-33.042465693875435,500
279,-206.2158536959778,-34.369308949329636,500
280,-215.98095212757988,-35.996825354596645,500
281,-228.52577590596,-38.087629317659996,500
282,-193.44751981001502,-32.24125330166917,500
283,-204.55638032122806,-34.09273005353801,500
284,-247.53369230770562,-41.255615384617606,500
285,-188.27332276200076,-31.378887127000127,500
286,-221.24914442336228,-36.874857403893714,500
287,-194.29828096481148,-32.38304682746858,500
288,-214.5837326686482,-35.7639554447747,500
289,-211.75487428835703,-35.292479048059505,500
290,-188.6222526894697,-31.437042114911616,500
291,-190.86257729640874,-31.81042954940146,500
292,-179.10300074887263,-29.850500124812104,500
293,-180.84468357906368,-30.140780596510613,500
294,-189.67112899686697,-31.61185483281116,500
295,-189.20897673524846,-31.534829455874743,500
296,-206.338537186122,-34.389756197687,500
297,-236.22775598942405,-39.37129266490401,500
298,-210.02000801367174,-35.00333466894529,500
299,-186.57062371084882,-31.095103951808138,500
300,-215.85905457522443,-35.97650909587074,500
301,-236.63019305819859,-39.438365509699764,500
302,-198.07028752980477,-33.0117145883008,500
303,-221.9358253011157,-36.98930421685262,500
304,-197.93335899982134,-32.98889316663689,500
305,-212.68029163388638,-35.4467152723144,500
306,-221.87419900616698,-36.979033167694496,500
307,-228.05055094716184,-38.00842515786031,500
308,-236.71253559278202,-39.45208926546367,500
309,-187.75267170752718,-31.29211195125453,500
310,-198.2547889020566,-33.04246481700943,500
311,328.3533956670919,54.72556594451532,500
312,-171.69229922787636,-28.61538320464606,500
313,-207.57693227094097,-34.59615537849016,500
314,-104.52626020266499,-17.42104336711083,500
315,-230.55833841258345,-38.426389735430575,500
316,-202.84758362066393,-33.807930603443985,500
317,-224.33181705765594,-37.38863617627599,500
318,-208.88796314231024,-34.81466052371837,500
319,-196.75242151639776,-32.79207025273296,500
320,-215.4930160108791,-35.91550266847985,500
321,-222.67466771376525,-37.11244461896087,500
322,-247.2590064699168,-41.2098344116528,500
323,-170.80472873282216,-28.467454788803693,500
324,-204.14896103818074,-34.02482683969679,500
325,-198.9081867302398,-33.15136445503997,500
326,-178.23353944171473,-29.705589906952454,500
327,-212.71637746621286,-35.452729577702144,500
328,-223.13135063070487,-37.18855843845081,500
329,-224.77719377354376,-37.46286562892396,500
330,-235.14378433823168,-39.190630723038616,500
331,-168.59152366476513,-28.098587277460854,500
332,-202.1915653774479,-33.698594229574645,500
333,-187.64620777433123,-31.27436796238854,500
334,-197.5749522064007,-32.92915870106678,500
335,-220.88608042347505,-36.81434673724584,500
336,-213.64656754978162,-35.60776125829694,500
337,-186.08778984961782,-31.01463164160297,500
338,-201.9545663376517,-33.65909438960862,500
339,-187.62519236084677,-31.270865393474462,500
340,-216.4326098374853,-36.072101639580886,500
341,-221.12332716719777,-36.85388786119963,500
342,-183.46497344618828,-30.577495574364715,500
343,-182.3335846821423,-30.388930780357047,500
344,-223.47460224378491,-37.24576704063082,500
345,-249.36216101493417,-41.56036016915569,500
346,-241.7543221225368,-40.2923870204228,500
347,-270.07461300818056,-45.01243550136343,500
348,-174.5202229021933,-29.086703817032216,500
349,-223.5291479476188,-37.2548579912698,500
350,-190.91576267999176,-31.819293779998628,500
