Episode,Total_Reward,Mean_Reward,Episode_Length,Duration_Sec
151,-147.65888916321046,-24.609814860535078,500,2.7062485218048096
152,-170.56406166281715,-28.427343610469524,500,5.54687762260437
153,-174.72876616610847,-29.121461027684745,500,2.7026634216308594
154,-186.81689909843857,-31.136149849739763,500,2.6768550872802734
155,-176.96221691199185,-29.49370281866531,500,3.0175838470458984
156,-146.78376772486104,-24.463961287476838,500,5.839555263519287
157,-156.92397672906645,-26.153996121511074,500,2.7703802585601807
158,-154.42715402682143,-25.737859004470238,500,2.8822710514068604
159,-170.4166340490142,-28.402772341502367,500,2.9357481002807617
160,-166.34070297548692,-27.723450495914488,500,5.554265975952148
161,-189.93699378307724,-31.656165630512874,500,2.7139909267425537
162,-198.66296931298257,-33.1104948854971,500,2.711707592010498
163,-186.85141841777113,-31.141903069628523,500,2.7572710514068604
164,-188.3904601363056,-31.3984100227176,500,5.4971418380737305
165,-160.45014569379566,-26.741690948965942,500,2.7320845127105713
166,-178.63945012341173,-29.773241687235288,500,2.700514316558838
167,-203.08620925922742,-33.84770154320457,500,2.730384111404419
168,-165.39119375490554,-27.565198959150923,500,5.463182687759399
169,30.98375253619497,5.163958756032495,500,2.7314260005950928
170,-172.32233973161783,-28.72038995526964,500,2.727069139480591
171,-182.28664259635798,-30.381107099392995,500,2.7472031116485596
172,-205.17783106488196,-34.196305177480326,500,2.6855266094207764
173,-178.91193850282704,-29.81865641713784,500,5.451065301895142
174,-159.97477640668285,-26.662462734447143,500,2.7484312057495117
175,-184.66958362820333,-30.778263938033888,500,2.701042890548706
176,-164.3405425584133,-27.390090426402214,500,2.7011330127716064
177,-180.45039383674316,-30.075065639457193,500,5.495895624160767
178,-181.4759342825164,-30.245989047086066,500,2.7643496990203857
179,-171.76858404496434,-28.62809734082739,500,2.7020440101623535
180,-153.6639461248842,-25.6106576874807,500,2.6850357055664062
181,-174.7940422919337,-29.13234038198895,500,5.4846062660217285
182,-147.03970692283428,-24.506617820472382,500,2.795071601867676
183,-177.89559684097367,-29.64926614016228,500,2.893935441970825
184,-192.91101137048702,-32.151835228414505,500,2.9274685382843018
185,-186.13605894994728,-31.02267649165788,500,6.125694036483765
186,-173.52848412462345,-28.921414020770573,500,2.85502028465271
187,-176.76782578121276,-29.461304296868793,500,2.7231407165527344
188,-207.74440673820982,-34.624067789701634,500,2.7262730598449707
189,-178.68329603677194,-29.780549339461988,500,5.554617643356323
190,-186.8258207122194,-31.137636785369903,500,2.743257999420166
191,-198.50851996889514,-33.08475332814919,500,2.7358880043029785
192,-202.44877605323813,-33.74146267553969,500,2.7461798191070557
193,-184.6034250532001,-30.767237508866685,500,5.630697727203369
194,-216.01057013910213,-36.001761689850355,500,2.7564399242401123
195,-204.0762491271944,-34.012708187865734,500,2.753182888031006
